description,category
DENTAL CLINIC STORE,Healthcare
JIO RECHARGE STORE,Bills
MONTHLY SALARY,Salary
SPOTIFY POS,Entertainment
YOUTUBE PREMIUM TXN,Entertainment
SALARY CREDIT STORE,Salary
AJIO PAYMENT,Shopping
MONTHLY SALARY TXN,Salary
BONUS CREDIT UPI,Salary
FLIPKART UPI,Shopping
CROMA BANGALORE,Shopping
BHARAT PETROLEUM STORE,Fuel
NETFLIX #1234,Entertainment
FLIPKART POS,Shopping
WATER BILL BANGALORE,Bills
AMAZON PAY TXN,Shopping
BONUS CREDIT UPI,Salary
HOTSTAR ONLINE,Entertainment
METRO RECHARGE TXN,Travel
SALARY CREDIT TXN,Salary
CAFE COFFEE DAY KOCHI,Food
BUS TICKET #1234,Travel
BANK CHARGE TXN,Others
MYNTRA INDIA,Shopping
SALARY CREDIT POS,Salary
JIO RECHARGE,Bills
NETFLIX BANGALORE,Entertainment
ZERODHA INDIA,Investment
PIZZA HUT BANGALORE,Food
RAPIDO KOCHI,Travel
INDIAN OIL UPI,Fuel
RELIANCE DIGITAL POS,Shopping
CASH WITHDRAWAL STORE,Others
AMAZON PRIME TXN,Entertainment
IRCTC POS,Travel
MYNTRA ONLINE,Shopping
NETFLIX #1234,Entertainment
APOLLO PHARMACY ONLINE,Healthcare
YOUTUBE PREMIUM POS,Entertainment
NIKE STORE #1234,Shopping
DOMINOS PIZZA STORE,Food
ELECTRICITY BILL INDIA,Bills
PPF STORE,Investment
STOCK PURCHASE #1234,Investment
NIKE STORE TXN,Shopping
BROADBAND BILL TXN,Bills
ZOMATO PAYMENT UPI,Food
CAFE COFFEE DAY PAYMENT,Food
NPS #1234,Investment
MONTHLY SALARY #1234,Salary
CROMA INDIA,Shopping
SHELL PETROL STORE,Fuel
NPS INDIA,Investment
SHELL PETROL,Fuel
BHARAT PETROLEUM INDIA,Fuel
WATER BILL TXN,Bills
APOLLO PHARMACY TXN,Healthcare
YOUTUBE PREMIUM ONLINE,Entertainment
BONUS CREDIT BANGALORE,Salary
MEDICAL STORE INDIA,Healthcare
ZERODHA INDIA,Investment
CASH WITHDRAWAL TXN,Others
AMAZON PRIME STORE,Entertainment
NETFLIX POS,Entertainment
ZERODHA PAYMENT,Investment
MONTHLY SALARY TXN,Salary
SUBWAY ONLINE,Food
FLIGHT BOOKING STORE,Travel
INDIAN OIL INDIA,Fuel
CAFE COFFEE DAY ONLINE,Food
APOLLO PHARMACY,Healthcare
AIRTEL ONLINE,Bills
FLIGHT BOOKING KOCHI,Travel
LAB TEST KOCHI,Healthcare
MONTHLY SALARY UPI,Salary
SWIGGY ORDER POS,Food
KFC INDIA INDIA,Food
NETFLIX,Entertainment
RAPIDO KOCHI,Travel
BUS TICKET POS,Travel
HP PETROL PAYMENT,Fuel
BHARAT PETROLEUM BANGALORE,Fuel
HOTSTAR KOCHI,Entertainment
ZERODHA BANGALORE,Investment
BONUS CREDIT POS,Salary
FLIGHT BOOKING TXN,Travel
STOCK PURCHASE POS,Investment
BURGER KING #1234,Food
BHARAT PETROLEUM KOCHI,Fuel
MYNTRA TXN,Shopping
CHEQUE PAYMENT PAYMENT,Others
STOCK PURCHASE #1234,Investment
OLA CAB ONLINE,Travel
BHARAT PETROLEUM POS,Fuel
AJIO POS,Shopping
BROADBAND BILL TXN,Bills
HP PETROL #1234,Fuel
HP PETROL UPI,Fuel
MOBILE RECHARGE POS,Bills
MONTHLY SALARY INDIA,Salary
BONUS CREDIT ONLINE,Salary
SWIGGY ORDER,Food
NPS #1234,Investment
YOUTUBE PREMIUM UPI,Entertainment
DOMINOS PIZZA INDIA,Food
LAB TEST,Healthcare
MCDONALDS BANGALORE,Food
INDIAN OIL KOCHI,Fuel
NETFLIX POS,Entertainment
AJIO BANGALORE,Shopping
CHEQUE PAYMENT #1234,Others
ZERODHA STORE,Investment
STARBUCKS,Food
AIRTEL UPI,Bills
MYNTRA,Shopping
SUBWAY BANGALORE,Food
BUS TICKET POS,Travel
BROADBAND BILL ONLINE,Bills
HP PETROL,Fuel
SHELL PETROL BANGALORE,Fuel
ZERODHA POS,Investment
YOUTUBE PREMIUM POS,Entertainment
RAPIDO UPI,Travel
LAB TEST,Healthcare
HOTSTAR,Entertainment
LAB TEST INDIA,Healthcare
RAPIDO KOCHI,Travel
SUBWAY INDIA,Food
LAB TEST,Healthcare
BOOKMYSHOW BANGALORE,Entertainment
PIZZA HUT #1234,Food
SALARY CREDIT UPI,Salary
BONUS CREDIT INDIA,Salary
HOTSTAR INDIA,Entertainment
APOLLO PHARMACY #1234,Healthcare
PIZZA HUT POS,Food
DENTAL CLINIC STORE,Healthcare
CHEQUE PAYMENT POS,Others
MEDICAL STORE STORE,Healthcare
DENTAL CLINIC INDIA,Healthcare
SWIGGY ORDER,Food
SPOTIFY ONLINE,Entertainment
MUTUAL FUND SIP ONLINE,Investment
KSRTC #1234,Travel
SHELL PETROL KOCHI,Fuel
BROADBAND BILL PAYMENT,Bills
DOMINOS PIZZA POS,Food
LAB TEST POS,Healthcare
SHELL PETROL KOCHI,Fuel
HP PETROL BANGALORE,Fuel
WATER BILL PAYMENT,Bills
APOLLO PHARMACY #1234,Healthcare
MONTHLY SALARY KOCHI,Salary
SALARY CREDIT STORE,Salary
INDIAN OIL KOCHI,Fuel
BANK CHARGE UPI,Others
RAPIDO PAYMENT,Travel
ZERODHA POS,Investment
NETFLIX POS,Entertainment
HOSPITAL ONLINE,Healthcare
ATM WITHDRAWAL ONLINE,Others
NPS BANGALORE,Investment
YOUTUBE PREMIUM POS,Entertainment
OLA CAB TXN,Travel
CHEQUE PAYMENT UPI,Others
HP PETROL UPI,Fuel
SWIGGY ORDER POS,Food
MYNTRA TXN,Shopping
CASH WITHDRAWAL ONLINE,Others
BONUS CREDIT PAYMENT,Salary
PUMA TXN,Shopping
ZERODHA INDIA,Investment
LAB TEST INDIA,Healthcare
DENTAL CLINIC PAYMENT,Healthcare
MEDICAL STORE PAYMENT,Healthcare
PIZZA HUT INDIA,Food
CASH WITHDRAWAL,Others
MEDICAL STORE STORE,Healthcare
NIKE STORE KOCHI,Shopping
AMAZON PAY POS,Shopping
BUS TICKET,Travel
AMAZON PRIME,Entertainment
CHEQUE PAYMENT,Others
KFC INDIA,Food
BOOKMYSHOW #1234,Entertainment
MOBILE RECHARGE INDIA,Bills
BOOKMYSHOW TXN,Entertainment
SALARY CREDIT POS,Salary
KSRTC,Travel
APOLLO PHARMACY ONLINE,Healthcare
NETFLIX ONLINE,Entertainment
SALARY CREDIT INDIA,Salary
BANK CHARGE #1234,Others
SUBWAY BANGALORE,Food
ZOMATO PAYMENT INDIA,Food
SWIGGY ORDER POS,Food
SPOTIFY INDIA,Entertainment
SPOTIFY KOCHI,Entertainment
MONTHLY SALARY STORE,Salary
AMAZON PRIME STORE,Entertainment
MCDONALDS,Food
AMAZON PAY KOCHI,Shopping
RAPIDO #1234,Travel
SWIGGY ORDER KOCHI,Food
BROADBAND BILL #1234,Bills
HOSPITAL #1234,Healthcare
JIO RECHARGE BANGALORE,Bills
INDIAN OIL,Fuel
NETFLIX BANGALORE,Entertainment
KSRTC PAYMENT,Travel
FLIGHT BOOKING INDIA,Travel
PPF ONLINE,Investment
STOCK PURCHASE INDIA,Investment
WATER BILL POS,Bills
SHELL PETROL ONLINE,Fuel
HP PETROL PAYMENT,Fuel
BHARAT PETROLEUM INDIA,Fuel
CASH WITHDRAWAL STORE,Others
PUMA PAYMENT,Shopping
BOOKMYSHOW KOCHI,Entertainment
WATER BILL BANGALORE,Bills
HOSPITAL PAYMENT,Healthcare
MEDICAL STORE KOCHI,Healthcare
SHELL PETROL PAYMENT,Fuel
MOBILE RECHARGE KOCHI,Bills
STOCK PURCHASE UPI,Investment
SALARY CREDIT ONLINE,Salary
ZERODHA INDIA,Investment
MONTHLY SALARY POS,Salary
SALARY CREDIT KOCHI,Salary
STOCK PURCHASE #1234,Investment
BANK CHARGE ONLINE,Others
NETFLIX,Entertainment
CROMA POS,Shopping
BANK CHARGE PAYMENT,Others
AJIO POS,Shopping
MONTHLY SALARY ONLINE,Salary
ELECTRICITY BILL #1234,Bills
HOSPITAL #1234,Healthcare
PPF STORE,Investment
ZOMATO PAYMENT BANGALORE,Food
KSRTC UPI,Travel
STOCK PURCHASE TXN,Investment
BANK CHARGE STORE,Others
BONUS CREDIT POS,Salary
SPOTIFY KOCHI,Entertainment
APOLLO PHARMACY,Healthcare
CHEQUE PAYMENT INDIA,Others
CAFE COFFEE DAY,Food
CASH WITHDRAWAL POS,Others
NETFLIX #1234,Entertainment
SPOTIFY KOCHI,Entertainment
NIKE STORE STORE,Shopping
ATM WITHDRAWAL STORE,Others
STARBUCKS,Food
AMAZON PRIME UPI,Entertainment
CAFE COFFEE DAY INDIA,Food
STARBUCKS ONLINE,Food
YOUTUBE PREMIUM STORE,Entertainment
NIKE STORE PAYMENT,Shopping
MYNTRA ONLINE,Shopping
JIO RECHARGE PAYMENT,Bills
AMAZON PRIME BANGALORE,Entertainment
MUTUAL FUND SIP INDIA,Investment
SALARY CREDIT BANGALORE,Salary
BUS TICKET PAYMENT,Travel
SHELL PETROL STORE,Fuel
WATER BILL #1234,Bills
BONUS CREDIT INDIA,Salary
WATER BILL KOCHI,Bills
INDIAN OIL UPI,Fuel
ELECTRICITY BILL,Bills
CHEQUE PAYMENT STORE,Others
INDIAN OIL #1234,Fuel
ZERODHA BANGALORE,Investment
YOUTUBE PREMIUM TXN,Entertainment
FLIGHT BOOKING BANGALORE,Travel
NPS POS,Investment
JIO RECHARGE KOCHI,Bills
AJIO UPI,Shopping
MCDONALDS UPI,Food
ZOMATO PAYMENT BANGALORE,Food
BROADBAND BILL INDIA,Bills
INDIAN OIL BANGALORE,Fuel
BANK CHARGE UPI,Others
AMAZON PAY,Shopping
CROMA #1234,Shopping
JIO RECHARGE BANGALORE,Bills
APOLLO PHARMACY STORE,Healthcare
HOSPITAL TXN,Healthcare
ZERODHA STORE,Investment
AMAZON PAY BANGALORE,Shopping
OLA CAB UPI,Travel
ELECTRICITY BILL PAYMENT,Bills
BONUS CREDIT PAYMENT,Salary
AJIO #1234,Shopping
SHELL PETROL PAYMENT,Fuel
CASH WITHDRAWAL POS,Others
WATER BILL TXN,Bills
SALARY CREDIT ONLINE,Salary
BROADBAND BILL UPI,Bills
NIKE STORE STORE,Shopping
BROADBAND BILL ONLINE,Bills
YOUTUBE PREMIUM KOCHI,Entertainment
BANK CHARGE ONLINE,Others
ZERODHA STORE,Investment
ZERODHA PAYMENT,Investment
SALARY CREDIT,Salary
BANK CHARGE #1234,Others
MOBILE RECHARGE UPI,Bills
MONTHLY SALARY KOCHI,Salary
HOTSTAR BANGALORE,Entertainment
PIZZA HUT,Food
MONTHLY SALARY STORE,Salary
AMAZON PAY #1234,Shopping
HOSPITAL TXN,Healthcare
DENTAL CLINIC BANGALORE,Healthcare
MEDICAL STORE PAYMENT,Healthcare
AIRTEL BANGALORE,Bills
PPF #1234,Investment
SALARY CREDIT STORE,Salary
CHEQUE PAYMENT ONLINE,Others
MEDICAL STORE #1234,Healthcare
STOCK PURCHASE POS,Investment
BONUS CREDIT ONLINE,Salary
UBER TRIP UPI,Travel
METRO RECHARGE TXN,Travel
HP PETROL,Fuel
JIO RECHARGE #1234,Bills
PUMA BANGALORE,Shopping
ZOMATO PAYMENT TXN,Food
HP PETROL ONLINE,Fuel
MEDICAL STORE #1234,Healthcare
RAPIDO #1234,Travel
STOCK PURCHASE INDIA,Investment
DENTAL CLINIC UPI,Healthcare
NETFLIX INDIA,Entertainment
DOMINOS PIZZA ONLINE,Food
PPF PAYMENT,Investment
CAFE COFFEE DAY #1234,Food
JIO RECHARGE INDIA,Bills
SALARY CREDIT KOCHI,Salary
MONTHLY SALARY PAYMENT,Salary
ELECTRICITY BILL PAYMENT,Bills
MEDICAL STORE TXN,Healthcare
AJIO BANGALORE,Shopping
SALARY CREDIT INDIA,Salary
SHELL PETROL UPI,Fuel
ATM WITHDRAWAL ONLINE,Others
SALARY CREDIT POS,Salary
MUTUAL FUND SIP #1234,Investment
PUMA BANGALORE,Shopping
RAPIDO KOCHI,Travel
OLA CAB STORE,Travel
HOSPITAL ONLINE,Healthcare
YOUTUBE PREMIUM STORE,Entertainment
BROADBAND BILL BANGALORE,Bills
PIZZA HUT KOCHI,Food
SALARY CREDIT ONLINE,Salary
IRCTC BANGALORE,Travel
PIZZA HUT INDIA,Food
MOBILE RECHARGE #1234,Bills
BONUS CREDIT #1234,Salary
DENTAL CLINIC TXN,Healthcare
BUS TICKET PAYMENT,Travel
BHARAT PETROLEUM BANGALORE,Fuel
MONTHLY SALARY,Salary
NIKE STORE INDIA,Shopping
AJIO PAYMENT,Shopping
AMAZON PRIME KOCHI,Entertainment
BROADBAND BILL PAYMENT,Bills
CHEQUE PAYMENT TXN,Others
BONUS CREDIT POS,Salary
MOBILE RECHARGE ONLINE,Bills
MUTUAL FUND SIP BANGALORE,Investment
NIKE STORE UPI,Shopping
DOMINOS PIZZA ONLINE,Food
MONTHLY SALARY,Salary
BUS TICKET TXN,Travel
ATM WITHDRAWAL BANGALORE,Others
CASH WITHDRAWAL STORE,Others
NIKE STORE #1234,Shopping
DENTAL CLINIC INDIA,Healthcare
MEDICAL STORE UPI,Healthcare
NETFLIX ONLINE,Entertainment
LAB TEST STORE,Healthcare
NPS TXN,Investment
BURGER KING ONLINE,Food
CHEQUE PAYMENT UPI,Others
BOOKMYSHOW #1234,Entertainment
SUBWAY KOCHI,Food
SUBWAY KOCHI,Food
NPS STORE,Investment
STOCK PURCHASE UPI,Investment
CHEQUE PAYMENT POS,Others
ZOMATO PAYMENT POS,Food
AJIO UPI,Shopping
CAFE COFFEE DAY BANGALORE,Food
CHEQUE PAYMENT,Others
BROADBAND BILL TXN,Bills
ZOMATO PAYMENT INDIA,Food
MONTHLY SALARY STORE,Salary
NPS ONLINE,Investment
UBER TRIP POS,Travel
BHARAT PETROLEUM ONLINE,Fuel
WATER BILL ONLINE,Bills
CHEQUE PAYMENT ONLINE,Others
BHARAT PETROLEUM TXN,Fuel
CASH WITHDRAWAL KOCHI,Others
BHARAT PETROLEUM #1234,Fuel
SALARY CREDIT POS,Salary
DENTAL CLINIC KOCHI,Healthcare
KSRTC INDIA,Travel
ELECTRICITY BILL STORE,Bills
HP PETROL ONLINE,Fuel
INDIAN OIL UPI,Fuel
STOCK PURCHASE,Investment
ZERODHA PAYMENT,Investment
CAFE COFFEE DAY UPI,Food
NIKE STORE POS,Shopping
BONUS CREDIT STORE,Salary
YOUTUBE PREMIUM KOCHI,Entertainment
BUS TICKET BANGALORE,Travel
IRCTC UPI,Travel
MONTHLY SALARY POS,Salary
BHARAT PETROLEUM PAYMENT,Fuel
DENTAL CLINIC UPI,Healthcare
BANK CHARGE STORE,Others
UBER TRIP #1234,Travel
DOMINOS PIZZA ONLINE,Food
CHEQUE PAYMENT POS,Others
CASH WITHDRAWAL ONLINE,Others
MONTHLY SALARY STORE,Salary
HOSPITAL STORE,Healthcare
HOSPITAL STORE,Healthcare
PPF ONLINE,Investment
YOUTUBE PREMIUM KOCHI,Entertainment
NPS STORE,Investment
LAB TEST INDIA,Healthcare
FLIPKART STORE,Shopping
SALARY CREDIT TXN,Salary
OLA CAB,Travel
MEDICAL STORE POS,Healthcare
PPF UPI,Investment
MUTUAL FUND SIP POS,Investment
BUS TICKET #1234,Travel
NETFLIX BANGALORE,Entertainment
FLIGHT BOOKING BANGALORE,Travel
INDIAN OIL POS,Fuel
NETFLIX BANGALORE,Entertainment
AJIO UPI,Shopping
SWIGGY ORDER BANGALORE,Food
IRCTC #1234,Travel
AMAZON PAY KOCHI,Shopping
HOTSTAR INDIA,Entertainment
BUS TICKET,Travel
HOSPITAL STORE,Healthcare
SWIGGY ORDER POS,Food
MCDONALDS ONLINE,Food
APOLLO PHARMACY,Healthcare
DOMINOS PIZZA #1234,Food
KSRTC UPI,Travel
CASH WITHDRAWAL ONLINE,Others
HP PETROL BANGALORE,Fuel
MUTUAL FUND SIP BANGALORE,Investment
FLIGHT BOOKING INDIA,Travel
PIZZA HUT POS,Food
CASH WITHDRAWAL KOCHI,Others
OLA CAB KOCHI,Travel
ATM WITHDRAWAL STORE,Others
LAB TEST UPI,Healthcare
UBER TRIP ONLINE,Travel
MONTHLY SALARY ONLINE,Salary
DENTAL CLINIC #1234,Healthcare
AMAZON PAY UPI,Shopping
HP PETROL BANGALORE,Fuel
AJIO PAYMENT,Shopping
PUMA #1234,Shopping
FLIGHT BOOKING UPI,Travel
YOUTUBE PREMIUM UPI,Entertainment
MONTHLY SALARY TXN,Salary
MEDICAL STORE PAYMENT,Healthcare
AIRTEL #1234,Bills
BROADBAND BILL STORE,Bills
BHARAT PETROLEUM KOCHI,Fuel
IRCTC UPI,Travel
UBER TRIP POS,Travel
STARBUCKS ONLINE,Food
APOLLO PHARMACY PAYMENT,Healthcare
MEDICAL STORE POS,Healthcare
WATER BILL #1234,Bills
ELECTRICITY BILL PAYMENT,Bills
BUS TICKET ONLINE,Travel
YOUTUBE PREMIUM KOCHI,Entertainment
APOLLO PHARMACY PAYMENT,Healthcare
BONUS CREDIT POS,Salary
PIZZA HUT TXN,Food
MUTUAL FUND SIP KOCHI,Investment
AMAZON PRIME STORE,Entertainment
ATM WITHDRAWAL INDIA,Others
PPF KOCHI,Investment
IRCTC TXN,Travel
ELECTRICITY BILL BANGALORE,Bills
KSRTC UPI,Travel
NPS STORE,Investment
CHEQUE PAYMENT #1234,Others
NIKE STORE UPI,Shopping
LAB TEST ONLINE,Healthcare
OLA CAB TXN,Travel
SHELL PETROL,Fuel
CHEQUE PAYMENT,Others
YOUTUBE PREMIUM BANGALORE,Entertainment
ZERODHA BANGALORE,Investment
HOSPITAL ONLINE,Healthcare
BANK CHARGE KOCHI,Others
SWIGGY ORDER UPI,Food
PUMA KOCHI,Shopping
ELECTRICITY BILL UPI,Bills
LAB TEST KOCHI,Healthcare
BUS TICKET BANGALORE,Travel
CHEQUE PAYMENT,Others
METRO RECHARGE KOCHI,Travel
ATM WITHDRAWAL PAYMENT,Others
BURGER KING #1234,Food
SHELL PETROL KOCHI,Fuel
DOMINOS PIZZA,Food
MONTHLY SALARY TXN,Salary
ATM WITHDRAWAL BANGALORE,Others
BANK CHARGE POS,Others
LAB TEST UPI,Healthcare
BONUS CREDIT POS,Salary
KSRTC TXN,Travel
MUTUAL FUND SIP UPI,Investment
HP PETROL BANGALORE,Fuel
AIRTEL UPI,Bills
SALARY CREDIT TXN,Salary
YOUTUBE PREMIUM KOCHI,Entertainment
SALARY CREDIT ONLINE,Salary
AMAZON PAY TXN,Shopping
MONTHLY SALARY #1234,Salary
PUMA,Shopping
BONUS CREDIT BANGALORE,Salary
HP PETROL #1234,Fuel
DOMINOS PIZZA PAYMENT,Food
SALARY CREDIT,Salary
DENTAL CLINIC UPI,Healthcare
SPOTIFY PAYMENT,Entertainment
BHARAT PETROLEUM BANGALORE,Fuel
ZERODHA POS,Investment
MOBILE RECHARGE #1234,Bills
NIKE STORE ONLINE,Shopping
CHEQUE PAYMENT PAYMENT,Others
AIRTEL STORE,Bills
BURGER KING STORE,Food
ATM WITHDRAWAL INDIA,Others
BROADBAND BILL KOCHI,Bills
AMAZON PRIME INDIA,Entertainment
ZERODHA TXN,Investment
IRCTC PAYMENT,Travel
BROADBAND BILL #1234,Bills
INDIAN OIL KOCHI,Fuel
OLA CAB,Travel
DENTAL CLINIC,Healthcare
AMAZON PAY KOCHI,Shopping
BOOKMYSHOW KOCHI,Entertainment
ZERODHA PAYMENT,Investment
WATER BILL BANGALORE,Bills
SHELL PETROL ONLINE,Fuel
ELECTRICITY BILL TXN,Bills
SALARY CREDIT POS,Salary
MONTHLY SALARY TXN,Salary
BONUS CREDIT PAYMENT,Salary
BROADBAND BILL INDIA,Bills
CROMA ONLINE,Shopping
AMAZON PRIME INDIA,Entertainment
JIO RECHARGE KOCHI,Bills
SUBWAY #1234,Food
MYNTRA BANGALORE,Shopping
SALARY CREDIT POS,Salary
CHEQUE PAYMENT POS,Others
AIRTEL ONLINE,Bills
OLA CAB UPI,Travel
KSRTC POS,Travel
AMAZON PRIME STORE,Entertainment
SUBWAY,Food
APOLLO PHARMACY UPI,Healthcare
CHEQUE PAYMENT TXN,Others
STARBUCKS,Food
AMAZON PRIME STORE,Entertainment
CAFE COFFEE DAY #1234,Food
LAB TEST KOCHI,Healthcare
CHEQUE PAYMENT KOCHI,Others
HP PETROL ONLINE,Fuel
CHEQUE PAYMENT ONLINE,Others
PUMA,Shopping
LAB TEST UPI,Healthcare
PUMA UPI,Shopping
RELIANCE DIGITAL BANGALORE,Shopping
LAB TEST TXN,Healthcare
HOSPITAL BANGALORE,Healthcare
SUBWAY BANGALORE,Food
STARBUCKS PAYMENT,Food
HOSPITAL INDIA,Healthcare
WATER BILL ONLINE,Bills
APOLLO PHARMACY PAYMENT,Healthcare
ELECTRICITY BILL,Bills
DENTAL CLINIC STORE,Healthcare
APOLLO PHARMACY ONLINE,Healthcare
MEDICAL STORE STORE,Healthcare
NETFLIX BANGALORE,Entertainment
MONTHLY SALARY STORE,Salary
JIO RECHARGE KOCHI,Bills
ZERODHA BANGALORE,Investment
BUS TICKET #1234,Travel
MONTHLY SALARY KOCHI,Salary
CROMA ONLINE,Shopping
CROMA KOCHI,Shopping
CAFE COFFEE DAY KOCHI,Food
HP PETROL KOCHI,Fuel
OLA CAB UPI,Travel
MONTHLY SALARY STORE,Salary
AMAZON PRIME INDIA,Entertainment
HOSPITAL KOCHI,Healthcare
CROMA INDIA,Shopping
KFC INDIA UPI,Food
CROMA UPI,Shopping
SWIGGY ORDER STORE,Food
STOCK PURCHASE #1234,Investment
APOLLO PHARMACY ONLINE,Healthcare
LAB TEST POS,Healthcare
MONTHLY SALARY ONLINE,Salary
AMAZON PRIME POS,Entertainment
JIO RECHARGE ONLINE,Bills
APOLLO PHARMACY TXN,Healthcare
MOBILE RECHARGE STORE,Bills
MONTHLY SALARY POS,Salary
METRO RECHARGE TXN,Travel
YOUTUBE PREMIUM BANGALORE,Entertainment
ZERODHA STORE,Investment
MOBILE RECHARGE UPI,Bills
FLIPKART #1234,Shopping
HOTSTAR INDIA,Entertainment
KSRTC PAYMENT,Travel
MONTHLY SALARY INDIA,Salary
HP PETROL POS,Fuel
CAFE COFFEE DAY ONLINE,Food
JIO RECHARGE INDIA,Bills
CHEQUE PAYMENT PAYMENT,Others
PUMA UPI,Shopping
APOLLO PHARMACY ONLINE,Healthcare
WATER BILL INDIA,Bills
INDIAN OIL PAYMENT,Fuel
BHARAT PETROLEUM #1234,Fuel
NIKE STORE ONLINE,Shopping
DENTAL CLINIC STORE,Healthcare
SPOTIFY INDIA,Entertainment
IRCTC KOCHI,Travel
SALARY CREDIT ONLINE,Salary
ZERODHA ONLINE,Investment
NIKE STORE,Shopping
MOBILE RECHARGE PAYMENT,Bills
BONUS CREDIT POS,Salary
JIO RECHARGE POS,Bills
DENTAL CLINIC,Healthcare
BOOKMYSHOW TXN,Entertainment
MUTUAL FUND SIP STORE,Investment
BOOKMYSHOW STORE,Entertainment
DOMINOS PIZZA ONLINE,Food
APOLLO PHARMACY PAYMENT,Healthcare
NETFLIX POS,Entertainment
CASH WITHDRAWAL PAYMENT,Others
PPF POS,Investment
MONTHLY SALARY TXN,Salary
KFC INDIA KOCHI,Food
BONUS CREDIT PAYMENT,Salary
LAB TEST KOCHI,Healthcare
SALARY CREDIT POS,Salary
IRCTC ONLINE,Travel
HOSPITAL UPI,Healthcare
AIRTEL KOCHI,Bills
BONUS CREDIT KOCHI,Salary
PUMA KOCHI,Shopping
MEDICAL STORE INDIA,Healthcare
LAB TEST UPI,Healthcare
DENTAL CLINIC ONLINE,Healthcare
ZERODHA UPI,Investment
PIZZA HUT ONLINE,Food
JIO RECHARGE KOCHI,Bills
INDIAN OIL STORE,Fuel
HOSPITAL POS,Healthcare
BROADBAND BILL,Bills
AMAZON PRIME ONLINE,Entertainment
RELIANCE DIGITAL POS,Shopping
BUS TICKET ONLINE,Travel
BOOKMYSHOW PAYMENT,Entertainment
UBER TRIP,Travel
WATER BILL ONLINE,Bills
CASH WITHDRAWAL POS,Others
BROADBAND BILL ONLINE,Bills
MUTUAL FUND SIP ONLINE,Investment
CASH WITHDRAWAL INDIA,Others
INDIAN OIL,Fuel
PPF PAYMENT,Investment
NIKE STORE BANGALORE,Shopping
PUMA PAYMENT,Shopping
LAB TEST STORE,Healthcare
BUS TICKET STORE,Travel
JIO RECHARGE POS,Bills
CHEQUE PAYMENT PAYMENT,Others
LAB TEST BANGALORE,Healthcare
CASH WITHDRAWAL,Others
CASH WITHDRAWAL TXN,Others
HP PETROL ONLINE,Fuel
IRCTC UPI,Travel
ELECTRICITY BILL INDIA,Bills
WATER BILL UPI,Bills
NETFLIX ONLINE,Entertainment
SHELL PETROL ONLINE,Fuel
MEDICAL STORE STORE,Healthcare
ZERODHA KOCHI,Investment
FLIPKART ONLINE,Shopping
BUS TICKET TXN,Travel
OLA CAB #1234,Travel
MONTHLY SALARY,Salary
HP PETROL STORE,Fuel
STARBUCKS BANGALORE,Food
FLIGHT BOOKING KOCHI,Travel
BONUS CREDIT UPI,Salary
INDIAN OIL PAYMENT,Fuel
BHARAT PETROLEUM STORE,Fuel
HOSPITAL STORE,Healthcare
INDIAN OIL ONLINE,Fuel
BURGER KING INDIA,Food
HOSPITAL,Healthcare
RAPIDO BANGALORE,Travel
BONUS CREDIT TXN,Salary
AIRTEL,Bills
HOSPITAL,Healthcare
INDIAN OIL BANGALORE,Fuel
SALARY CREDIT UPI,Salary
INDIAN OIL ONLINE,Fuel
DENTAL CLINIC POS,Healthcare
WATER BILL STORE,Bills
BONUS CREDIT ONLINE,Salary
HOSPITAL,Healthcare
FLIPKART POS,Shopping
MONTHLY SALARY ONLINE,Salary
ATM WITHDRAWAL ONLINE,Others
MONTHLY SALARY BANGALORE,Salary
STOCK PURCHASE TXN,Investment
MOBILE RECHARGE TXN,Bills
CHEQUE PAYMENT ONLINE,Others
ZERODHA KOCHI,Investment
STOCK PURCHASE ONLINE,Investment
CHEQUE PAYMENT STORE,Others
FLIPKART BANGALORE,Shopping
BHARAT PETROLEUM,Fuel
ELECTRICITY BILL STORE,Bills
BROADBAND BILL TXN,Bills
FLIGHT BOOKING UPI,Travel
NPS STORE,Investment
RAPIDO STORE,Travel
NIKE STORE ONLINE,Shopping
OLA CAB TXN,Travel
MONTHLY SALARY KOCHI,Salary
BONUS CREDIT POS,Salary
BONUS CREDIT #1234,Salary
WATER BILL,Bills
MONTHLY SALARY,Salary
PPF PAYMENT,Investment
SHELL PETROL TXN,Fuel
MEDICAL STORE PAYMENT,Healthcare
AJIO UPI,Shopping
BONUS CREDIT #1234,Salary
CASH WITHDRAWAL STORE,Others
AJIO BANGALORE,Shopping
HOTSTAR INDIA,Entertainment
ZOMATO PAYMENT UPI,Food
METRO RECHARGE BANGALORE,Travel
KSRTC TXN,Travel
JIO RECHARGE POS,Bills
BHARAT PETROLEUM PAYMENT,Fuel
PPF,Investment
AMAZON PAY UPI,Shopping
HOTSTAR STORE,Entertainment
NIKE STORE TXN,Shopping
CHEQUE PAYMENT PAYMENT,Others
SALARY CREDIT INDIA,Salary
OLA CAB BANGALORE,Travel
NIKE STORE BANGALORE,Shopping
WATER BILL PAYMENT,Bills
MUTUAL FUND SIP ONLINE,Investment
KSRTC UPI,Travel
HOTSTAR PAYMENT,Entertainment
DOMINOS PIZZA #1234,Food
NIKE STORE BANGALORE,Shopping
MYNTRA ONLINE,Shopping
HP PETROL TXN,Fuel
OLA CAB PAYMENT,Travel
BHARAT PETROLEUM KOCHI,Fuel
SPOTIFY #1234,Entertainment
